id,cost,elapsed_min,pulloff_force,detach_cost,achieved,goal,shortfall,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solimp_dmin,solimp_width,solimp_midpoint,solimp_power,noslip_iterations,noslip_tolerance,margin,Br,max_magnetic_distance,max_force_per_wheel
8123db3a,0.188159,0.79,776.4200,0.188159,776.4200,956.3700,0.188159,0.37938136,0.015750055,1.1075862e-05,0.0012419042,0.99047667,0.0010442464,0.46454113,4.0761624,30.012088,9.1494751e-06,0.0049402681,0.63187193,0.060735754,726.84038
8a4a2c96,0.000000,0.79,1245.7800,0.000000,1245.7800,956.3700,0.000000,0.040963721,0.0045720861,1.2288094e-05,0.0031011087,0.33532768,0.00013529493,0.88472173,4.7117191,29.79893,5.5214803e-05,0.002408365,0.95277057,0.015078355,1197.7465
6fac5950,0.000000,0.79,1057.9400,0.000000,1057.9400,956.3700,0.000000,0.20898058,0.0072756754,0.00011327286,0.0043475394,0.32492662,0.00036153023,0.47997274,4.5739761,29.619772,3.400707e-05,0.0034191557,0.50583825,0.019260968,1008.5228
29c46815,0.000000,0.79,1248.2800,0.000000,1248.2800,956.3700,0.000000,0.4187879,0.0069953491,1.2915961e-05,0.004833196,0.25074536,0.00025887733,0.72398324,4.6613971,29.957282,3.5810501e-05,0.0046755482,0.54658581,0.027849966,1199.0549
259a5154,0.000000,0.79,1206.6800,0.000000,1206.6800,956.3700,0.000000,0.31273576,0.012844644,2.0934475e-05,0.0036485534,0.14240799,0.00030012384,0.57603741,4.8921655,30.196643,1.2380075e-05,0.0033929526,0.67580545,0.04198665,1157.3512
4f4c7a7b,0.094974,0.79,865.5400,0.094974,865.5400,956.3700,0.094974,0.11597027,0.0079558329,4.1510133e-05,0.0014351277,0.12180692,0.00031817843,0.58384668,4.4647836,29.911124,2.2926276e-05,0.00041952867,0.54440943,0.082829593,816.03928
0a368b7d,0.218315,0.79,747.5800,0.218315,747.5800,956.3700,0.218315,0.083046442,0.0054122156,5.6301525e-05,0.0022857513,0.43068141,0.00027323756,0.013838756,4.7903796,29.621023,3.6942677e-05,0.0015028563,1.316251,0.064588989,697.97414
685e7aa5,0.000000,0.79,1236.9200,0.000000,1236.9200,956.3700,0.000000,0.10609022,0.0017689911,9.3006786e-06,0.0051543421,0.12068314,0.00039836676,0.37744385,4.3385069,30.492342,1.6714178e-05,0.0019286302,0.79049146,0.031113392,1187.6285
6df5b97a,0.000000,0.79,1244.3600,0.000000,1244.3600,956.3700,0.000000,0.094045814,0.0073915177,3.2449086e-05,0.0023768309,0.04900965,0.00049906573,0.70858273,4.1190652,30.183681,9.7965014e-06,0.0043955168,0.62960314,0.073304323,1195.0837
9e5eb9ba,0.000000,0.79,1228.6800,0.000000,1228.6800,956.3700,0.000000,0.042277416,0.0047372901,1.1233651e-05,0.0036632289,0.38855434,0.00018185296,0.26479441,4.7029161,29.750403,8.9317219e-06,0.0049636418,0.83873639,0.048649485,1179.4319
e511252e,0.000000,0.79,1214.6800,0.000000,1214.6800,956.3700,0.000000,0.054643319,0.0059517914,7.5721299e-06,0.0039367181,0.33405329,0.00019459369,0.98999963,4.9417807,29.986833,7.9569594e-05,0.0035395163,0.50420452,0.023352441,1165.3798
0aa29b33,0.000000,0.79,1185.3000,0.000000,1185.3000,956.3700,0.000000,0.18766084,0.0028629983,2.4082489e-05,0.0019840497,0.0030065891,0.00045279214,0.82494358,4.1208835,29.832044,1.7078625e-05,0.0033113495,0.67945451,0.021696477,1135.9494
22ec1f5d,0.000000,0.79,963.3200,0.000000,963.3200,956.3700,0.000000,0.10170114,0.0026109475,1.8653712e-05,0.0027896561,0.25371525,0.00042419829,0.24040919,5.0189139,30.069304,5.0162342e-05,0.0020306281,0.50284773,0.056766963,913.82591
b74718d4,0.110742,0.79,850.4600,0.110742,850.4600,956.3700,0.110742,0.098607053,0.0084484227,3.7396628e-05,0.0029656744,0.51426974,0.00032126589,0.5294486,4.9990862,30.13336,2.7255454e-05,0.00472096,0.52416219,0.063811259,800.95249
5917f88d,0.000000,0.79,1242.8800,0.000000,1242.8800,956.3700,0.000000,0.17933199,0.016678301,1.3538529e-05,0.016649033,0.037363211,0.00047170382,0.062258575,4.6325417,30.115612,0.00012404614,0.0049858356,0.53971778,0.048203386,1193.649
fc3e40b0,0.000000,0.79,1042.6200,0.000000,1042.6200,956.3700,0.000000,0.08132408,0.0029271814,4.229946e-05,0.0034889413,0.70377299,0.00039686647,0.64957663,4.8697188,29.736689,6.5788248e-05,0.0042091275,0.51422598,0.082692677,993.23825
0c0eaea9,0.000000,0.79,1210.0400,0.000000,1210.0400,956.3700,0.000000,0.2193652,0.0009215316,1.0029759e-05,0.0094253044,0.47878932,0.00032485677,0.98956947,4.5664687,30.057678,2.2942451e-05,0.0026025101,0.50030296,0.014951922,1162.1106
