id,cost,elapsed_min,fl_x_drift_mm,fl_y_drift_mm,fl_z_drift_mm,stance_drift_mm,fl_x_cost,fl_y_cost,fl_z_cost,stance_cost,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solimp_dmin,solimp_width,solimp_midpoint,solimp_power,noslip_iterations,noslip_tolerance,margin,Br,max_magnetic_distance,max_force_per_wheel
672d7467,1.0,0.8,1000.0,1000.0,1000.0,1000.0,0.13,0.13,0.39,0.35,0.08146730243110946,0.0006724147412118985,1.902584592443158e-05,0.006233126162922695,0.1312780532488163,0.0008372684734244526,0.018573709361795476,4.15593605801741,29.712616783433994,1.8875942993404108e-05,0.0,0.5,0.0614046112619981,800.0000000000003
8cffb542,0.02771811493583379,0.8,9.428434409105247,19.19854924679191,35.173623892974156,29.368267835163547,0.0012256964731836822,0.0024958114020829482,0.013717713318259921,0.01027889374230724,0.13948607317696207,0.0024703380568175063,1.8930392477908195e-05,0.0057334157916067345,0.49557066581454995,0.000247026296816383,0.32016472039818417,4.583771846953166,30.348806096573064,3.5576372432696905e-05,0.0,1.4776919221711782,0.1,800.0000000000003
55f1eb50,1.0,0.8,1000.0,1000.0,1000.0,1000.0,0.13,0.13,0.39,0.35,0.11646333573022677,0.0027917274123830773,5.711546215432219e-05,0.006213652305919577,0.9081800784948422,0.00068222369623329,0.658627047598705,4.558659322714586,30.18085408085286,2.7961975119269485e-05,0.005,0.5,0.0903255857990774,1099.9999999999998
95c78ccd,0.01719608191243436,0.8,0.7367060461182964,7.496284056130931,9.415494875658107,35.58214342181514,9.577178599537854e-05,0.0009745169272970211,0.003672043001506662,0.012453750197635298,0.05287923356539212,0.0023565486605922428,1.3627613891228924e-05,0.00387484670579661,0.11091534810402254,0.0007753236489818885,0.2642756641961371,4.63051560806064,30.105899063439725,6.0491339362035595e-06,0.005,0.5,0.1,1099.9999999999998
308d2d55,0.02997766425921538,0.8,5.70021009204981,4.467260005145169,6.575484631482551,74.54701182943383,0.0007410273119664752,0.000580743800668872,0.002564439006278195,0.026091454140301836,0.25842894867490945,0.0016164637734427405,4.5032777802083996e-05,0.0017771250493607087,0.001,0.00026346142272919924,0.41661866736147846,4.741001959255132,30.324017888624205,1.2780731961120826e-05,0.0,1.2823093711694848,0.1,1099.9999999999998
41f7024d,1.0,0.8,1000.0,1000.0,1000.0,1000.0,0.13,0.13,0.39,0.35,0.14688040449588044,0.0011030668012261373,2.711274490282961e-05,0.00762507838920036,0.5786683102765182,0.0008050625746762218,0.581801656127075,4.375633695948298,29.936424460483973,2.9638961647151646e-05,0.005,0.5,0.025218283909507394,1099.9999999999998
a140794a,0.014666740542389232,0.8,1.4764694972445978,3.9458882013746868,9.25335984855018,29.580067716097584,0.0001919410346417977,0.0005129654661787093,0.00360881034093457,0.010353023700634154,0.3024194684895559,0.0013298883607678895,3.1779981899572726e-05,0.020416128266886827,0.23426264919704534,0.00043233456509623704,0.39890777766204333,4.944561455818922,29.533985405241637,1.0457745452341613e-05,0.005,0.5,0.020531806474028115,1099.9999999999998
17c5dd76,1.0,0.8,1000.0,1000.0,1000.0,1000.0,0.13,0.13,0.39,0.35,0.11446864720178648,0.005457785618863318,1.1703142643212529e-05,0.002821101294886542,0.001,0.00024365538904274137,0.35072874995746856,3.9328835973533103,30.264489358103162,8.332270095466145e-06,0.005,0.9027326380355222,0.08681548856271193,1099.9999999999998
0f7cbda6,1.0,0.8,1000.0,1000.0,1000.0,1000.0,0.13,0.13,0.39,0.35,0.1194446600594696,0.0024120118532352116,3.6148427880271924e-05,0.006077481258195745,0.5682017223241611,0.000447624700308181,0.3524474501184377,4.570347261696433,29.98149558389329,4.4436824420287625e-05,0.005,0.5,0.06378982485924871,1099.9999999999998
b6335826,1.0,0.8,1000.0,1000.0,1000.0,1000.0,0.13,0.13,0.39,0.35,0.419542300228641,0.00315042455663223,7.619958887717581e-06,0.003012491397352798,0.46939121599775707,8.83205296546393e-05,0.6340333114119483,4.482887908897767,29.58495803545607,1.9029713805967574e-05,0.0,0.653045281216665,0.019652553924063947,1099.9999999999998
95912c51,0.01068071420257178,0.8,2.4819876783226884,8.144991043222777,8.599425851251883,16.986945390807527,0.0003226583981819495,0.001058848835618961,0.003353776081988235,0.005945430886782635,0.0868085348143305,0.000552375325459419,2.2527164747846207e-05,0.013699727938388823,0.31354174191850254,0.0001706698791680593,0.1395324033079458,4.232384541478225,29.80411875295561,1.404891720539561e-05,0.0,0.5,0.017316961646970042,1015.9477978152173
ce290aff,0.028840258314157464,0.8,4.291111993974834,16.590324294426825,42.899987337997466,26.841932956703545,0.0005578445592167284,0.002156742158275487,0.01673099506181901,0.00939467653484624,0.07087869733418871,0.0027703538519079215,1.3552602604053595e-05,0.008123211952408435,0.6439365884862391,0.00044862854891086334,0.06956278815781436,4.413295676582152,30.109946836805502,1.2470408394391746e-05,0.0,0.6122888411163829,0.026648492324039676,800.0000000000003
5308e584,0.011989046689736303,1.1,1.2806286922732202,5.344175454000215,10.479857425765745,20.116222156206046,0.00016648172999551863,0.0006947428090200281,0.004087144396048641,0.007040677754672116,0.12069170355791767,0.0014532426533169925,4.1363731921853316e-05,0.003852908731223308,0.2162483094709129,0.0004151296834297209,0.22170606275522467,4.275108183872781,30.14291461259615,1.5026975734317657e-05,0.0,0.5,0.04563069712310069,1099.9999999999998
4c6d3d6b,1.0,1.1,1000.0,1000.0,1000.0,1000.0,0.13,0.13,0.39,0.35,0.06736607819703964,0.0023872449122785493,6.331770749319936e-05,0.002740656669133736,0.11950281808351639,0.0001330386345550851,0.01,4.618868614116153,29.603321086331853,1.2085531770853799e-05,0.005,0.5,0.04118940314687395,1026.0683633445135
c9de5b93,0.013805421010610885,1.1,1.7662535561932362,13.727721790491271,16.759070985990405,15.014761517158977,0.0002296129623051207,0.0017846038327638653,0.006536037684536258,0.005255166531005642,0.15483939870500055,0.001622493319522649,2.0279881990715932e-05,0.01087872064269624,0.526353803956658,0.0002297528927548551,0.01,4.526300472231642,29.58287498742105,8.024791072908448e-06,0.0,0.7872787145137563,0.032040726854662346,1099.9999999999998
